Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-02,212.589,214.836,209.993,214.017,5499200,0.0,0.0
2019-05-03,214.376,215.352,209.164,213.556,4323100,0.0,0.0
2019-05-06,210.076,221.493,209.459,221.428,7180200,0.0,0.0
2019-05-07,220.222,223.868,217.653,219.172,5104700,0.0,0.0
2019-05-08,219.126,221.714,216.852,220.185,3768400,0.0,0.0
2019-05-09,217.837,221.465,216.981,219.099,4299500,0.0,0.0
2019-05-10,220.94,223.38,217.626,221.511,4374400,0.0,0.0
2019-05-13,217.699,221.06,217.469,220.553,4684400,0.0,0.0
2019-05-14,221.557,221.879,217.543,217.681,5329700,0.0,0.0
2019-05-15,216.364,218.694,214.173,217.359,5099700,0.0,0.0
2019-05-16,217.184,221.382,217.027,218.012,4456400,0.0,0.0
2019-05-17,217.441,223.214,216.963,222.238,4486400,0.0,0.0
2019-05-20,220.968,227.173,220.756,226.483,5390800,0.0,0.0
2019-05-21,227.422,231.261,227.229,230.12,5345300,0.0,0.0
2019-05-22,229.346,231.123,228.987,229.567,4038000,0.0,0.0
2019-05-23,228.315,228.471,225.01,226.952,3934600,0.0,0.0
2019-05-24,227.643,229.585,226.041,227.993,2973900,0.0,0.0
2019-05-28,228.794,229.53,222.791,222.864,6172700,0.0,0.0
2019-05-29,220.83,223.758,219.034,223.177,3958400,0.0,0.0
2019-05-30,222.736,225.894,222.202,224.19,2646600,0.0,0.0
2019-05-31,222.763,224.301,220.489,222.625,3285700,0.0,0.0
2019-06-03,222.34,224.466,217.303,217.801,4999400,0.0,0.0
2019-06-04,219.246,221.935,216.208,221.667,4992000,0.0,0.0
2019-06-05,223.886,226.299,222.1,223.518,3194400,0.0,0.0
2019-06-06,223.85,224.595,222.561,222.643,2630100,0.0,0.0
2019-06-07,223.638,227.477,222.984,227.201,2837400,0.0,0.0
2019-06-10,227.486,229.871,226.483,228.462,2331000,0.0,0.0
2019-06-11,228.812,230.81,226.243,226.372,3043000,0.0,0.0
2019-06-12,226.676,226.952,223.085,225.111,3251800,0.0,0.0
2019-06-13,225.406,225.884,223.84,225.534,3107800,0.0,0.0
2019-06-14,226.311,227.587,224.526,226.912,2165500,1.08,0.0
2019-06-17,227.495,228.512,226.774,227.467,2270300,0.0,0.0
2019-06-18,228.882,230.584,226.709,227.218,3482500,0.0,0.0
2019-06-19,227.495,232.461,227.042,231.37,4204600,0.0,0.0
2019-06-20,232.674,233.802,228.79,229.123,3800800,0.0,0.0
2019-06-21,230.066,234.422,228.327,233.303,6323500,0.0,0.0
2019-06-24,232.424,233.626,229.215,230.861,3163800,0.0,0.0
2019-06-25,230.547,232.156,228.808,229.03,3182700,0.0,0.0
2019-06-26,229.345,229.419,224.841,225.155,3852900,0.0,0.0
2019-06-27,225.886,229.483,224.869,227.809,3366200,0.0,0.0
2019-06-28,227.957,228.189,220.698,225.655,6727600,0.0,0.0
2019-07-01,227.449,227.652,222.612,224.388,4102700,0.0,0.0
2019-07-02,224.341,225.636,221.521,225.618,3863500,0.0,0.0
2019-07-03,225.941,228.901,225.682,226.764,2559400,0.0,0.0
2019-07-05,226.006,230.047,225.701,228.411,2965000,0.0,0.0
2019-07-08,227.874,229.326,226.459,229.197,1902500,0.0,0.0
2019-07-09,226.228,227.569,225.359,227.495,2774800,0.0,0.0
2019-07-10,228.253,230.371,227.014,228.864,2753000,0.0,0.0
2019-07-11,236.558,242.005,230.316,241.515,10268800,0.0,0.0
2019-07-12,241.949,246.471,241.949,245.898,5336100,0.0,0.0
